Polymer_Name_P,Mn,Mw,D,THF Soluble,DMF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3
CCD50_PPD25_MPD25_P,,,,,,,T1_H6,9,"solid (elastic, clear)",Y,N,NA,20231018,Y,,2:1.0:1.0,2,1,1
CCD50_PPD25_TPD25_P,,,,,,,T1_I6,10,"solid (elastic, clear)",Y,N,NA,20231018,Y,,2:1.1:0.9,2,1.1,0.9
CCD50_PRD25_BPA25_P,,,,,,,T1_C10,4,"solid (glassy, clear, orange)",Y,Y,Color Interference,20231018,Y,Y,2:1.2:0.8,2,1.2,0.8
CCD50_PRD25_OTD25_P,,,,,,,T1_D6,5,"solid (elastic, clear)",Y,Y,Distributed,20230910,Y,Y,2:0.7:1.3,2,0.7,1.3
CCD50_PRD25_PTD25_P,,,,,,,T1_D7,5,"solid (elastic, clear)",Y,Y,Clear Zone,20230910,P,Y,2:0.7:1.3,2,0.7,1.3
CCD50_TPG25_BPA25_P,,,,,,,T2_G7,19,"solid (elastic, clear)",Y,N,Hydrolysis,20231115,P,,2:0.3:1.7,2,0.3,1.7
DGA25_ADA25_DPD50_P,,,,,,,T2_D9,16,viscous,Y,Y,Distributed,20231115,,Y,1.1:0.9:2,1.1,0.9,2
DGA25_ADA25_DPG50_P,,,,,,,T2_B4,14,viscous,Y,Y,Clear Zone,20231209,Y,Y,1.1:0.9:2,1.1,0.9,2
DGA25_AZA25_BND50_P,,,,,,,T2_A2,12,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,Y,Y,1.0:1.0:2,1,1,2
DGA25_AZA25_DPD50_P,,,,,,,T2_D8,16,viscous,Y,Y,Distributed,20231115,Y-DPD->DGD,Y,1.1:0.9:2,1.1,0.9,2
DGA25_AZA25_OTD50_P,,,,,,,T3_C8,24,,Y,Y,Distributed,20231209,P,,1.0:1.0:2,1,1,2
DGA25_CCD25_GGE50_P,,,,,,,T3_D1,25,,Y,Y,Clear Zone,20240311,Y,,1.0:1.0:2,1,1,2
DGA25_SBA25_ETG50_P,,,,,,,T1_F1,7,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,Y,Y,0.4:1.6:2,0.4,1.6,2
DGA25_SUA25_DCD50_P,,,,,,,T3_C2,24,,Y,Y,Distributed,20231209,P,,1.0:1.0:2,1,1,2
DGA25_SUA25_MRD50_P,,,,,,,T1_A10,2,viscous,Y,Y,Distributed,20230910,Y,Y,1.0:1.0:2,1,1,2
DGA25_TOA25_MPD50_P,,,,,,,T2_J2,21,,Y,Y,Clear Zone,20231115,,,1.0:1.0:2,1,1,2
DGA25_TOA25_PPD50_P,,,,,,,T1_I9,11,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,,1.0:1.0:2,1,1,2
DGA25_TOA25_TEG50_P,,,,,,,T2_I5,20,,Y,Y,Clear Zone,20231115,,,1.0:1.0:2,1,1,2
DGA50_BND25_PTD25_P,,,,,,,T1_J9,12,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,Y,2:1.0:1.0,2,1,1
